,,,
1.5.5          ,bolesti materice ,otpusna lista sa bolni?kog le?enja + izveštaj ginekologa + ginekološki UZV+ kolposkopija + Pap-a ne stariji od 6 meseci,
1.5.6          ,bolesti jajnika ,otpusna lista sa bolni?kog le?enja + izveštaj ginekologa + ginekološki UZV+ kolposkopija + Pap-a ne stariji od 6 meseci+ lab,
1.5.7          ,bolesti dojke ,otpusna lista sa bolni?kog le?enja - operacije ( nalaz sa biopsije ili punkcije) + definitivni PH nalaz + svi kontrolni nalazi onkologa sa navedenom terapijom + UZV dojki ili nalaz mamografije ili MR dojki ne stariji od 6 meseci,
1.6    ,"Bolesti krvi i zgrušavanja krvi, bolesti imunog i limfnog sistema (što podrazumeva i: leukemiju, limfome, HIV, SIDA, sistemski lupus, sistemske bolesti vezivnog tkiva)",,
1.6.1          ,leukemija ,kompletnu medicinsku dokumentaciju u vezi le?enja leukemije ( hematolog ),
1.6.2          ,limfomi ,kompletnu medicinsku dokumentaciju u vezi le?enja limfoma ( hematologija ),
1.6.3          ,HIV/SIDA ,kompletnu medicinsku dokumentaciju u vezi le?enja HIV/SIDA( infektolog ),
1.6.4          ,sistemski lupus,kompletnu medicinsku dokumentaciju u vezi le?enja sistemskog lupusa(reumatolog),
1.6.5          ,sistemske bolesti vezivnog tkiva,kompletnu medicinsku dokumentaciju u vezi le?enja navedenog oboljenja ( reumatolog),
1.7    ,"Bolesti digestivnog sistema (što podrazumeva i: ?ir želuca ili dvanaestopala?nog creva, Kronova bolest, ulcerozni kolitis, bilo koji oblik hepatitisa, cirozu jetre, bolesti žu?i i žu?nih puteva, guštera?e)",,
1.7.1          ,?ir želuca ili dvanaestopala?nog creva,otpusna lista sa bolni?kog le?enja+ izveštaj gastroenterologa sa navedenom terapijom + prate?a lab+ UZV abdomena,
1.7.2          ,Kronova bolest,izveštaj sa kolonoskopije+ kontrolni nalaz gastroenterologa sa navedenom terapijom,
1.7.3          ,Ulcerozni kolitis,izveštaj sa kolonoskopije+ kontrolni nalaz gastroenterologa sa navedenom terapijom,
1.7.4          ,hepatitis,izveštaj hepatologa/infektologa sa navedenom terapijom + lab +UZV abdomena,
1.7.5          ,ciroza jetre ,kompletnu medicinsku dokumentaciju u vezi le?enja ciroze jetre,
1.7.6          ,bolesti žu?i i žu?nih puteva,izveštaj gastroenetrologa sa navedenom terapijom + UZV abdomena,
1.7.7          ,bolesti guštera?e (pankreasa),kompletnu medicinsku dokumentaciju u vezi le?enja bolesti pankreasa + izveštaj gastrenterologa sa navedenom terapijom + UZV abdomena ,
1.8    ,"Bolesti lokomotornog sistema (što podrazumeva i: degenerativne i reumatske bolesti kostiju, zglobova i ki?me)",Izveštaj fizijatara/reumatologa sa navedenom terapijom +opis pripadaju?eg RTG/MR/osteodenzirometrija,
1.9    ,"Bolesti nervnog sistema i psihi?ke bolesti (što podrazumeva i: pareze, paralize, epilepsiju, moždani udar-šlog, multipla skleroza, miši?ne distrofije, Parkinsonizam, Alchajmerova bolest, demencije, psihoze, depresije, šizofrenija, poreme?aj li?nosti, mentalna retardacija, alkoholizam, narkomanija, pokušaj samoubistva)",,
1.9.1          ,pareze/paralize,kompletnu medicinsku dokumentaciju u vezi le?enja navedenih bolesti,
1.9.2          ,epilepsija,kompletnu medicinsku dokumentaciju u vezi le?enja epilepsije+izveštaj neurologa sa navedenom terapijom + EEG +dopunska dijagnostika ne stariji od godinu dana,
1.9.3          ,moždani udar-šlog,kompletnu medicinsku dokumentaciju u vezi le?enja navedene bolesti,
1.9.4          ,multipla sleroza,kompletnu medicinsku dokumentaciju u vezi le?enja navedene bolesti,
1.9.5          ,miši?ne distrofije,kompletnu medicinsku dokumentaciju u vezi le?enja navedene bolesti,
1.9.6          ,Parkinsonizam,kompletnu medicinsku dokumentaciju u vezi le?enja navedene bolesti,
1.9.7          ,Alchajmerova bolest/demencije,kompletnu medicinsku dokumentaciju u vezi le?enja navedene bolesti,
1.9.8          ,psihoze/depresije/ šizofrenija/ poreme?aj li?nosti/mentalna retardacija/alkoholizam/ narkomanija/pokušaj samoubistva,kompletnu medicinsku dokumentaciju u vezi le?enja navedenih bolesti ili izveštaj psihijatra sa opisom celog toka bolesti i procenom sadašnjeg psihi?kog statusa sa navedenom terapijom,
1.10            ,"Bolesti ?ula vida i sluha (što podrazumeva i: glaukom, kataraktu, poreme?aj i gubitak sluha i/ili vida )",Izveštaj oftalmologa sa navedenim tokom bolesti i procenom vida na oba oka,
1.10.1      ,Ako imate dioptriju navedite visinu dioptrije. ,"Ukoliko klijent nema bolesti ?ula vida i sluga ali ima dioptriju 7+, potrebno je da izlazi poruka: ",
,,Izveštaj oftalmologa sa navedenim tokom bolesti i procenom vida na oba oka,
,"Napomena:Ukoliko nije ozna?ena bolest ?ula vida i dioptrija je ispod 7, nije potrebna poruka. ",,
1.11            ,"Alergije, promene na koži, kožne bolesti i izrasline, mladeži koji krvare ili su promenili veli?inu i izgled ",Izveštaj alergologa/dermatologa/plasti?nog hirurga sa opisom promena i predloženom terapijom,
1.12            ,"Zdravstvene tegobe koje su posledica ranijih bolesti, trovanja, nesre?a, povreda",Izveštaje o le?enju povreda od nadležnih specijalista+ otpusna liste sa bolni?kih le?enja + izveštaj specijaliste sa procenom sadašnjeg stanja,
2.        ,Da li ste bolovali ili trenutno bolujete od neke bolesti organa / sistema organa koja nije navedena u ovom upitniku ili imate kakav telesni nedostatak ?,,
2.1    ,Navedite koja je bolest u pitanju/telesni nedostatak,Potrebno je priložiti kompletnu medicinsku dokumentaciju za koju je naveden pozitivan odgovor,
3.        ,Da li se trenutno nalazite na ispitivanju ili pra?enju nekog zdravstvenog stanja ili ?ekate rezultate dijagnosti?kih procedura?,Potrebno je priložiti kompletnu medicinsku dokumentaciju za koju je ozna?en pozitivan odgovor,
4.        ,"Da li ste na poslu ili u slobodno vreme izloženi pove?anom riziku od povre?ivanja? (zra?enje, rad sa eksplozivom,materijama štetnim po zdravlje, rad na visini ili pod vodom)",,
4.1    ,Navesti opasnost,,
5.       *,"Da li se bavite sportom, uklju?uju?i i opasne sportove (ronjenje, padobranstvo, alpinizam, motokros i dr. ekstremni sportovi)? 
Napomena: posebno definisano u specifikaciji","Pitanje broj 5 se odnosi na sport i potrebno je da se implementira poruka da ?e ?e do?i do uve?anja premije/odbijanje u odnosu na unete informacije u vezi sportova (odgovori na pitanje broj 5 iz Upitnika). Potrebno je da se notifikacije pojavljuju bez obzira da li je izabrano rekreativno ili organizovao bavljenje sportom.
Tabela sportova koju je potrebno implementirati je u nastavku. Tako?e, unosom prva 3 slova potrebno je da se ispisuju predloženi termini. Agentu/zastupniku/posredniku potrebno je da se prikazuju samo nazivi sportova, dok od razreda opasnosti zavisi uve?anje premije (tabela u nastavku).",#UNKNOWN!
5.1    ,Organizovano: navesti sport,,
5.2    ,Rekreativno: navesti sport,,
6.        ,Da li redovno konzumirate:,"Potrebno je implementirati padaju?i meni sa mogu?noš?u izbora koli?ina alkohola i cigareta/divana, prema tabeli iz nastavka. Za izbor droga, potrebno je da postoje samo opcije da i ne.",#UNKNOWN!
6.1    ,alkohol,,
6.2    ,drogu,,
6.3    ,cigarete/duvan,,
7.        ,Uzimate li redovno lekove,Potrebno je kreirati polje za slobodan unos teksta od maksimalno 300 karaktera,
7.1    ,"Ukoliko uzimate, navedite koje i dnevnu koli?inu",,
8.        ,Vaša visina i težina,"BMI = kg/m²
Automatsko obra?unavanje BMI indexa",#UNKNOWN!
9.        ,Da li imate otvoren zdravstveni karton,,#UNKNOWN!
9.1    ,Navedite naziv zdravstvene ustanove kod koje imate otvoren zdravstveni karton i od kada,,
